x,y,count
1,1,720.0
2,1,144.0
3,1,10.0
4,1,2.0
5,1,1.0
6,1,4.0
7,1,3447.0
8,1,911.0
9,1,103.0
10,1,4020.0
11,1,4317.0
12,1,1481.0
13,1,1605.0
14,1,533.0
15,1,198.0
16,1,3396.0
17,1,1687.0
18,1,348.0
19,1,561.0
20,1,1605.0
21,1,531.0
22,1,865.0
23,1,1589.0
24,1,936.0
25,1,525.0
26,1,2102.0
27,1,4040.0
28,1,1783.0
29,1,1875.0
30,1,2285.0
31,1,654.0
32,1,1179.0
33,1,10795.0
34,1,18388.0
35,1,12602.0
36,1,10770.0
37,1,4074.0
38,1,9477.0
39,1,11311.0
40,1,5690.0
41,1,13181.0
42,1,10559.0
43,1,21137.0
44,1,36282.0
45,1,12605.0
46,1,10766.0
47,1,8709.0
48,1,6563.0
49,1,8532.0
50,1,8066.0
51,1,2358.0
52,1,11570.0
53,1,3173.0
54,1,6531.0
55,1,2535.0
56,1,402.0
57,1,3915.0
58,1,17997.0
59,1,2430.0
60,1,295.0
61,1,157.0
62,1,303.0
63,1,665.0
64,1,2702.0
65,1,1169.0
66,1,650.0
67,1,106.0
68,1,590.0
69,1,2218.0
70,1,3560.0
71,1,1739.0
72,1,7635.0
73,1,1015.0
74,1,1890.0
75,1,1671.0
76,1,1713.0
77,1,1493.0
78,1,1843.0
79,1,1024.0
80,1,1226.0
81,1,2130.0
82,1,2708.0
83,1,2576.0
84,1,1939.0
85,1,6254.0
86,1,2092.0
87,1,66.0
88,1,431.0
89,1,753.0
90,1,3063.0
91,1,3151.0
92,1,1895.0
93,1,655.0
94,1,2234.0
95,1,2832.0
96,1,242.0
97,1,516.0
98,1,31.0
99,1,228.0
100,1,170.0
101,1,494.0
102,1,4655.0
103,1,17151.0
104,1,11324.0
105,1,4709.0
106,1,1761.0
107,1,1915.0
108,1,3564.0
109,1,2168.0
110,1,10044.0
111,1,4982.0
112,1,847.0
113,1,2356.0
114,1,5224.0
115,1,6210.0
116,1,578.0
117,1,664.0
118,1,776.0
119,1,749.0
120,1,2629.0
121,1,4239.0
122,1,3505.0
123,1,200.0
124,1,270.0
125,1,279.0
126,1,766.0
127,1,3043.0
128,1,433.0
129,1,957.0
130,1,8748.0
131,1,2705.0
132,1,2835.0
133,1,6705.0
134,1,4077.0
135,1,4401.0
136,1,874.0
137,1,1727.0
138,1,1252.0
139,1,492.0
140,1,616.0
141,1,2583.0
142,1,168.0
143,1,163.0
144,1,99.0
145,1,65.0
146,1,34.0
147,1,64.0
148,1,0.0
149,1,0.0
150,1,0.0
151,1,0.0
152,1,0.0
153,1,0.0
154,1,0.0
155,1,0.0
156,1,0.0
157,1,1.0
158,1,2.0
159,1,0.0
160,1,0.0
161,1,0.0
162,1,1.0
163,1,0.0
164,1,0.0
165,1,27.0
166,1,607.0
167,1,418.0
168,1,6913.0
169,1,3800.0
170,1,2.0
171,1,5.0
172,1,6.0
173,1,3.0
174,1,1861.0
175,1,4413.0
176,1,1484.0
177,1,2038.0
178,1,867.0
179,1,1054.0
180,1,23.0
181,1,1.0
182,1,0.0
183,1,0.0
184,1,1.0
185,1,0.0
186,1,1.0
187,1,7.0
188,1,0.0
189,1,0.0
190,1,0.0
191,1,0.0
192,1,0.0
193,1,0.0
194,1,227.0
195,1,956.0
196,1,2.0
197,1,0.0
198,1,0.0
199,1,0.0
200,1,0.0
1,2,982.0
2,2,118.0
3,2,1.0
4,2,0.0
5,2,4.0
6,2,321.0
7,2,1778.0
8,2,107.0
9,2,1092.0
10,2,1852.0
11,2,4516.0
12,2,1593.0
13,2,1639.0
14,2,1313.0
15,2,175.0
16,2,586.0
17,2,1018.0
18,2,1132.0
19,2,1006.0
20,2,407.0
21,2,561.0
22,2,1477.0
23,2,806.0
24,2,4341.0
25,2,463.0
26,2,3514.0
27,2,3479.0
28,2,2166.0
29,2,1481.0
30,2,1196.0
31,2,87.0
32,2,257.0
33,2,3754.0
34,2,6007.0
35,2,5141.0
36,2,4366.0
37,2,1940.0
38,2,5341.0
39,2,5774.0
40,2,11986.0
41,2,17424.0
42,2,8106.0
43,2,19318.0
44,2,35945.0
45,2,12163.0
46,2,31189.0
47,2,23020.0
48,2,4255.0
49,2,4753.0
50,2,2448.0
51,2,2399.0
52,2,4177.0
53,2,2817.0
54,2,379.0
55,2,266.0
56,2,249.0
57,2,288.0
58,2,2896.0
59,2,1060.0
60,2,936.0
61,2,34.0
62,2,248.0
63,2,58.0
64,2,104.0
65,2,680.0
66,2,120.0
67,2,53.0
68,2,73.0
69,2,3460.0
70,2,1049.0
71,2,2900.0
72,2,1960.0
73,2,23.0
74,2,736.0
75,2,180.0
76,2,2786.0
77,2,824.0
78,2,488.0
79,2,2489.0
80,2,1571.0
81,2,1012.0
82,2,692.0
83,2,258.0
84,2,704.0
85,2,761.0
86,2,1059.0
87,2,1250.0
88,2,1479.0
89,2,406.0
90,2,56.0
91,2,101.0
92,2,271.0
93,2,2224.0
94,2,3130.0
95,2,577.0
96,2,534.0
97,2,727.0
98,2,513.0
99,2,730.0
100,2,168.0
101,2,139.0
102,2,2391.0
103,2,9421.0
104,2,6835.0
105,2,7147.0
106,2,2990.0
107,2,1396.0
108,2,4000.0
109,2,1077.0
110,2,3907.0
111,2,348.0
112,2,505.0
113,2,119.0
114,2,1804.0
115,2,846.0
116,2,51.0
117,2,65.0
118,2,486.0
119,2,1311.0
120,2,747.0
121,2,3429.0
122,2,4982.0
123,2,1572.0
124,2,758.0
125,2,129.0
126,2,988.0
127,2,3461.0
128,2,1513.0
129,2,374.0
130,2,3244.0
131,2,2582.0
132,2,7640.0
133,2,2342.0
134,2,559.0
135,2,1022.0
136,2,206.0
137,2,453.0
138,2,8.0
139,2,60.0
140,2,30.0
141,2,1103.0
142,2,766.0
143,2,271.0
144,2,164.0
145,2,2.0
146,2,1.0
147,2,0.0
148,2,0.0
149,2,1.0
150,2,0.0
151,2,0.0
152,2,0.0
153,2,0.0
154,2,0.0
155,2,0.0
156,2,1.0
157,2,0.0
158,2,0.0
159,2,0.0
160,2,0.0
161,2,0.0
162,2,0.0
163,2,0.0
164,2,0.0
165,2,0.0
166,2,228.0
167,2,1067.0
168,2,4635.0
169,2,4.0
170,2,1.0
171,2,3.0
172,2,2.0
173,2,2.0
174,2,1215.0
175,2,2322.0
176,2,1595.0
177,2,2406.0
178,2,272.0
179,2,282.0
180,2,125.0
181,2,0.0
182,2,0.0
183,2,0.0
184,2,0.0
185,2,0.0
186,2,0.0
187,2,4.0
188,2,0.0
189,2,0.0
190,2,0.0
191,2,0.0
192,2,0.0
193,2,4.0
194,2,0.0
195,2,126.0
196,2,0.0
197,2,0.0
198,2,0.0
199,2,0.0
200,2,0.0
1,3,1630.0
2,3,281.0
3,3,0.0
4,3,3.0
5,3,1.0
6,3,561.0
7,3,920.0
8,3,570.0
9,3,2122.0
10,3,7608.0
11,3,9189.0
12,3,6154.0
13,3,2615.0
14,3,1813.0
15,3,2458.0
16,3,6154.0
17,3,3168.0
18,3,1059.0
19,3,644.0
20,3,705.0
21,3,2042.0
22,3,3149.0
23,3,2013.0
24,3,6965.0
25,3,4123.0
26,3,3417.0
27,3,6796.0
28,3,2268.0
29,3,2793.0
30,3,1495.0
31,3,378.0
32,3,1393.0
33,3,1136.0
34,3,3917.0
35,3,5661.0
36,3,6388.0
37,3,6531.0
38,3,18576.0
39,3,12276.0
40,3,6565.0
41,3,9167.0
42,3,6804.0
43,3,12907.0
44,3,15842.0
45,3,8066.0
46,3,15374.0
47,3,31225.0
48,3,11220.0
49,3,12078.0
50,3,4116.0
51,3,3634.0
52,3,2263.0
53,3,1462.0
54,3,514.0
55,3,2302.0
56,3,122.0
57,3,895.0
58,3,128.0
59,3,1127.0
60,3,165.0
61,3,1338.0
62,3,721.0
63,3,42.0
64,3,1112.0
65,3,985.0
66,3,169.0
67,3,426.0
68,3,1736.0
69,3,2833.0
70,3,292.0
71,3,3320.0
72,3,2719.0
73,3,1888.0
74,3,1604.0
75,3,446.0
76,3,3125.0
77,3,525.0
78,3,679.0
79,3,2724.0
80,3,2854.0
81,3,313.0
82,3,3573.0
83,3,842.0
84,3,1672.0
85,3,963.0
86,3,280.0
87,3,2009.0
88,3,2160.0
89,3,150.0
90,3,778.0
91,3,521.0
92,3,808.0
93,3,404.0
94,3,3090.0
95,3,1657.0
96,3,2968.0
97,3,258.0
98,3,871.0
99,3,978.0
100,3,295.0
101,3,1510.0
102,3,2110.0
103,3,4997.0
104,3,5037.0
105,3,5008.0
106,3,1351.0
107,3,686.0
108,3,1408.0
109,3,1455.0
110,3,3178.0
111,3,2152.0
112,3,1299.0
113,3,3470.0
114,3,2028.0
115,3,446.0
116,3,625.0
117,3,1392.0
118,3,2474.0
119,3,1060.0
120,3,465.0
121,3,3503.0
122,3,2030.0
123,3,230.0
124,3,1633.0
125,3,624.0
126,3,1124.0
127,3,3164.0
128,3,1842.0
129,3,2556.0
130,3,10819.0
131,3,11356.0
132,3,4600.0
133,3,1659.0
134,3,1330.0
135,3,921.0
136,3,827.0
137,3,246.0
138,3,1640.0
139,3,110.0
140,3,63.0
141,3,159.0
142,3,507.0
143,3,1399.0
144,3,43.0
145,3,0.0
146,3,0.0
147,3,0.0
148,3,1.0
149,3,0.0
150,3,1.0
151,3,0.0
152,3,0.0
153,3,0.0
154,3,0.0
155,3,0.0
156,3,0.0
157,3,1.0
158,3,0.0
159,3,0.0
160,3,0.0
161,3,0.0
162,3,1.0
163,3,0.0
164,3,0.0
165,3,0.0
166,3,17.0
167,3,902.0
168,3,1710.0
169,3,3.0
170,3,0.0
171,3,2.0
172,3,2.0
173,3,0.0
174,3,6971.0
175,3,3023.0
176,3,1056.0
177,3,1788.0
178,3,739.0
179,3,320.0
180,3,277.0
181,3,1.0
182,3,2.0
183,3,0.0
184,3,1.0
185,3,2.0
186,3,0.0
187,3,1.0
188,3,7.0
189,3,0.0
190,3,0.0
191,3,0.0
192,3,0.0
193,3,0.0
194,3,0.0
195,3,176.0
196,3,0.0
197,3,0.0
198,3,0.0
199,3,0.0
200,3,0.0
1,4,1406.0
2,4,248.0
3,4,10.0
4,4,15.0
5,4,297.0
6,4,1822.0
7,4,238.0
8,4,1627.0
9,4,229.0
10,4,3501.0
11,4,7178.0
12,4,2425.0
13,4,9242.0
14,4,3915.0
15,4,3043.0
16,4,11656.0
17,4,2344.0
18,4,1234.0
19,4,2051.0
20,4,3905.0
21,4,9529.0
22,4,7408.0
23,4,7199.0
24,4,5981.0
25,4,4011.0
26,4,4037.0
27,4,3403.0
28,4,3210.0
29,4,4824.0
30,4,3850.0
31,4,1918.0
32,4,3170.0
33,4,7265.0
34,4,16247.0
35,4,20731.0
36,4,7676.0
37,4,8004.0
38,4,11161.0
39,4,4470.0
40,4,5177.0
41,4,6195.0
42,4,5756.0
43,4,6071.0
44,4,10001.0
45,4,7786.0
46,4,7511.0
47,4,12166.0
48,4,11725.0
49,4,13559.0
50,4,1560.0
51,4,4632.0
52,4,2605.0
53,4,171.0
54,4,480.0
55,4,510.0
56,4,828.0
57,4,47.0
58,4,570.0
59,4,391.0
60,4,4853.0
61,4,2504.0
62,4,62.0
63,4,22.0
64,4,40.0
65,4,352.0
66,4,788.0
67,4,185.0
68,4,1443.0
69,4,29.0
70,4,209.0
71,4,3851.0
72,4,2653.0
73,4,3492.0
74,4,4282.0
75,4,651.0
76,4,1985.0
77,4,1891.0
78,4,672.0
79,4,169.0
80,4,1472.0
81,4,985.0
82,4,2771.0
83,4,91.0
84,4,423.0
85,4,658.0
86,4,814.0
87,4,489.0
88,4,3679.0
89,4,324.0
90,4,197.0
91,4,561.0
92,4,175.0
93,4,703.0
94,4,1844.0
95,4,255.0
96,4,4150.0
97,4,734.0
98,4,40.0
99,4,2030.0
100,4,130.0
101,4,1657.0
102,4,3554.0
103,4,6554.0
104,4,2206.0
105,4,1959.0
106,4,946.0
107,4,749.0
108,4,1300.0
109,4,1303.0
110,4,2908.0
111,4,1547.0
112,4,1407.0
113,4,1547.0
114,4,1927.0
115,4,903.0
116,4,1433.0
117,4,2843.0
118,4,2197.0
119,4,2710.0
120,4,102.0
121,4,175.0
122,4,716.0
123,4,408.0
124,4,578.0
125,4,380.0
126,4,668.0
127,4,2751.0
